pa, pp, ta, tp
a manager catches a meal .,a meal is caught by a manager .,the lawyer comforted the reader .,the reader was comforted by the lawyer .
the actress washes the pot .,the pot is washed by the actress .,a husband bothered a business .,a business was bothered by a husband .
a son dragged an actress .,an actress was dragged by a son .,the soldier kills the manager .,the manager is killed by the soldier .
the king discovers the bag .,the bag is discovered by the king .,a captain asked a band .,a band was asked by a captain .
a reader joins a friend .,a friend is joined by a reader .,the parent described the juice .,the juice was described by the parent .
the actor tastes the salad .,the salad is tasted by the actor .,a prince prepared a meal .,a meal was prepared by a prince .
the lawyer raises the juice .,the juice is raised by the lawyer .,an administration purchased a tea .,a tea was purchased by an administration .
the captain caught the physician .,the physician was caught by the captain .,a singer destroys a coffee .,a coffee is destroyed by a singer .
the actor beat the adult .,the adult was beaten by the actor .,an attorney forgets a cousin .,a cousin is forgotten by an attorney .
the worker joined the club .,the club was joined by the worker .,a scientist protects a writer .,a writer is protected by a scientist .
a nurse embraced a son .,a son was embraced by a nurse .,the captain strikes the hero .,the hero is struck by the captain .
the cousin embraces the adult .,the adult is embraced by the cousin .,a girl struck a king .,a king was struck by a girl .
a brother collects a knife .,a knife is collected by a brother .,the husband carried the meal .,the meal was carried by the husband .
the soldier punched the boy .,the boy was punched by the soldier .,a leader teaches a writer .,a writer is taught by a leader .
the lady chased the band .,the band was chased by the lady .,a son collects a candy .,a candy is collected by a son .
a sheriff kisses a pilot .,a pilot is kissed by a sheriff .,the singer bothered the band .,the band was bothered by the singer .
the buddy selects the student .,the student is selected by the buddy .,a son caught a writer .,a writer was caught by a son .
the attorney removes the camera .,the camera is removed by the attorney .,a friend helped a champion .,a champion was helped by a friend .
the band purchases the pie .,the pie is purchased by the band .,a daughter grabbed a knife .,a knife was grabbed by a daughter .
an administration wants a tea .,a tea is wanted by an administration .,the man comforted the guest .,the guest was comforted by the man .
the cousin removed the wire .,the wire was removed by the cousin .,a son kills a pilot .,a pilot is killed by a son .
the lady judges the band .,the band is judged by the lady .,a captain removed a camera .,a camera was removed by a captain .
a singer collects a chicken .,a chicken is collected by a singer .,the manager wrapped the cigarette .,the cigarette was wrapped by the manager .
an actress discovered a tea .,a tea was discovered by an actress .,the priest asks the club .,the club is asked by the priest .
the hero selected the chicken .,the chicken was selected by the hero .,a sheriff joins a business .,a business is joined by a sheriff .
a writer carried a tea .,a tea was carried by a writer .,the company keeps the beer .,the beer is kept by the company .
a husband comforts a cousin .,a cousin is comforted by a husband .,the corporation kept the tea .,the tea was kept by the corporation .
the king destroys the cheese .,the cheese is destroyed by the king .,a champion led a band .,a band was led by a champion .
an attorney killed an employee .,an employee was killed by an attorney .,the king carries the computer .,the computer is carried by the king .
a professor forgot a pie .,a pie was forgotten by a professor .,the cousin understands the aunt .,the aunt is understood by the cousin .
a manager discovered a chicken .,a chicken was discovered by a manager .,the boy purchases the salad .,the salad is purchased by the boy .
the leader ate the candy .,the candy was eaten by the leader .,a husband chases a princess .,a princess is chased by a husband .
an adult surprises a pilot .,a pilot is surprised by an adult .,the employer raised the machine .,the machine was raised by the employer .
the opponent embraced the partner .,the partner was embraced by the opponent .,an attorney beats a worker .,a worker is beaten by an attorney .
a friend chases an army .,an army is chased by a friend .,the club used the pot .,the pot was used by the club .
a scientist leaves a guitar .,a guitar is left by a scientist .,the priest grabbed the juice .,the juice was grabbed by the priest .
the sheriff kisses the pilot .,the pilot is kissed by the sheriff .,a woman forgot an actor .,an actor was forgotten by a woman .
a cousin beat a manager .,a manager was beaten by a cousin .,the mother discovers the tea .,the tea is discovered by the mother .
the employer purchases the chocolate .,the chocolate is purchased by the employer .,an uncle bothered an administration .,an administration was bothered by an uncle .
a scientist understands a reader .,a reader is understood by a scientist .,the champion wanted the candy .,the candy was wanted by the champion .
